"Step","kind-glitter-492 - position_x","kind-glitter-492 - position_x__MIN","kind-glitter-492 - position_x__MAX","restful-moon-491 - position_x","restful-moon-491 - position_x__MIN","restful-moon-491 - position_x__MAX"
"0","0.8004193444112082","0.8004193444112082","0.8004193444112082","0.8004193444112082","0.8004193444112082","0.8004193444112082"
"1","0.7996568730063861","0.7996568730063861","0.7996568730063861","0.7996650396847877","0.7996650396847877","0.7996650396847877"
"2","0.7984103074846096","0.7984103074846096","0.7984103074846096","0.7984427151884478","0.7984427151884478","0.7984427151884478"
"3","0.7966390282622049","0.7966390282622049","0.7966390282622049","0.7967131440540978","0.7967131440540978","0.7967131440540978"
"4","0.7943220131523493","0.7943220131523493","0.7943220131523493","0.7944560942718959","0.7944560942718959","0.7944560942718959"
"5","0.7914374263734268","0.7914374263734268","0.7914374263734268","0.7916511661675382","0.7916511661675382","0.7916511661675382"
"6","0.7879622885095152","0.7879622885095152","0.7879622885095152","0.7882763241849033","0.7882763241849033","0.7882763241849033"
"7","0.7839957549240555","0.7839957549240555","0.7839957549240555","0.7844287489344629","0.7844287489344629","0.7844287489344629"
"8","0.7794466868643858","0.7794466868643858","0.7794466868643858","0.7800183507567044","0.7800183507567044","0.7800183507567044"
"9","0.7743117950783436","0.7743117950783436","0.7743117950783436","0.7750451392225725","0.7750451392225725","0.7750451392225725"
"10","0.768545364839332","0.768545364839332","0.768545364839332","0.7694649723824549","0.7694649723824549","0.7694649723824549"
"11","0.7621382594351638","0.7621382594351638","0.7621382594351638","0.7632741397523852","0.7632741397523852","0.7632741397523852"
"12","0.7550622722429916","0.7550622722429916","0.7550622722429916","0.7564477686441478","0.7564477686441478","0.7564477686441478"
"13","0.7472972950975024","0.7472972950975024","0.7472972950975024","0.7489712146877696","0.7489712146877696","0.7489712146877696"
"14","0.7388198121968048","0.7388198121968048","0.7388198121968048","0.740816850487693","0.740816850487693","0.740816850487693"
"15","0.7296874158254767","0.7296874158254767","0.7296874158254767","0.7320391382728185","0.7320391382728185","0.7320391382728185"
"16","0.719873840555978","0.719873840555978","0.719873840555978","0.7226875211517119","0.7226875211517119","0.7226875211517119"
"17","0.7094179457276649","0.7094179457276649","0.7094179457276649","0.71279488766857","0.71279488766857","0.71279488766857"
"18","0.6983596563526469","0.6983596563526469","0.6983596563526469","0.7023881109815279","0.7023881109815279","0.7023881109815279"
"19","0.6866480104773296","0.6866480104773296","0.6866480104773296","0.6914863634784317","0.6914863634784317","0.6914863634784317"
"20","0.6743080830540046","0.6743080830540046","0.6743080830540046","0.6801063058133058","0.6801063058133058","0.6801063058133058"
"21","0.6613677631232834","0.6613677631232834","0.6613677631232834","0.6682637381824137","0.6682637381824137","0.6682637381824137"
"22","0.6478528075870479","0.6478528075870479","0.6478528075870479","0.6559759333483366","0.6559759333483366","0.6559759333483366"
"23","0.6337875161887034","0.6337875161887034","0.6337875161887034","0.643262251744663","0.643262251744663","0.643262251744663"
"24","0.6191963717900774","0.6191963717900774","0.6191963717900774","0.6301457179972625","0.6301457179972625","0.6301457179972625"
"25","0.604100444453269","0.604100444453269","0.604100444453269","0.616649971578822","0.616649971578822","0.616649971578822"
