,times,crashes
0,46.25,0.0
1,46.22,0.0
2,46.21,0.0
3,46.2,0.0
4,46.24,0.0
5,46.2,0.0
6,46.4,0.0
7,46.19,0.0
8,46.46,0.0
9,46.19,0.0
10,46.23,0.0
11,46.13,0.0
12,46.2,0.0
13,38.52,1.0
14,46.09,0.0
15,46.21,0.0
16,46.22,0.0
17,46.07,0.0
18,46.18,0.0
19,46.21,0.0
20,46.2,0.0
