,x_0,y_0,delta_0,v_0,phi_0,phi_dot_0,beta_0,theta_0,stvel_0,acc_0,comp_0,oob_0
44,-6.8712263,-47.050957,0.015825532,4.050794,1.6580342,0.25119555,0.0009467158,7.8837824,3.1999738,9.509837,0.043346543,0.0
45,-6.874794,-47.010605,0.04782527,4.1458926,1.6605462,0.20884544,-0.0004460644,7.92429,-3.1999927,4.5235853,0.04441411,0.0
46,-6.8784914,-46.96931,0.015825344,4.1911283,1.6626346,0.27077165,0.00014524658,7.9657493,3.199991,9.50995,0.044701196,0.0
47,-6.8823414,-46.927578,0.047825254,4.2862277,1.6653423,0.2224942,-0.0013506124,8.007661,-3.1999955,5.932079,0.045340702,0.0
48,-6.88633,-46.8849,0.0158253,4.3455486,1.6675673,0.2703135,-0.0009690395,8.050523,3.1999905,9.509942,0.043910254,0.0
49,-6.8904867,-46.841644,0.047825206,4.440648,1.6702704,0.22105156,-0.0023895695,8.093978,-3.199992,2.5775373,0.04481409,0.0
50,-6.894791,-46.797447,0.015825287,4.4664235,1.672481,0.2951613,-0.0017253004,8.138385,3.1999815,9.509901,0.04457806,0.0
51,-6.899248,-46.753006,0.0478251,4.5615225,1.6754326,0.23857822,-0.003299695,8.183049,-3.1999896,4.1200123,0.045653906,0.0
52,-6.903863,-46.707626,0.015825205,4.6027226,1.6778183,0.29605392,-0.0028801155,8.228664,3.1999912,9.509946,0.047219954,0.0
53,-6.9086475,-46.661846,0.047825117,4.697822,1.6807789,0.23757415,-0.0043859365,8.274692,-3.1999922,1.5507222,0.046436097,0.0
54,-6.913599,-46.61513,0.015825195,4.7133293,1.6831546,0.3168401,-0.003747274,8.32167,3.1999865,9.509929,0.04562213,0.0
55,-6.9187083,-46.568275,0.04782506,4.808429,1.686323,0.25183496,-0.005368997,8.368803,-3.1999931,0.9061943,0.046147097,0.0
56,-6.9239945,-46.52048,0.01582513,4.8174906,1.6888413,0.33372378,-0.004788318,8.416887,3.1999922,9.509952,0.046009596,0.0
57,-6.929439,-46.472614,0.047825053,4.91259,1.6921786,0.2626126,-0.0064772563,8.465062,-3.199991,4.1508665,0.044759873,0.0
58,-6.9350715,-46.423813,0.015825141,4.9540987,1.6948048,0.31276667,-0.006152871,8.514188,3.199994,9.509952,0.046163626,0.0
59,-6.9408965,-46.374615,0.047825083,5.049198,1.6979324,0.24431415,-0.0075838007,8.563729,-3.1999924,-0.7609994,0.0453131,0.0
60,-6.9469185,-46.324486,0.015825158,5.0415883,1.7003756,0.34476078,-0.0067462837,8.614221,3.1999876,9.509927,0.044567414,0.0
61,-6.953096,-46.27445,0.047825035,5.1366873,1.7038232,0.2678996,-0.008417482,8.664637,-1.7512556,-9.509328,0.046922285,0.0
62,-6.95948,-46.22348,0.030312477,5.041594,1.7065022,0.44902217,-0.007258068,8.716003,-0.7359315,1.679609,0.04346224,0.0
