,times,crashes
0,46.15,0.0
1,46.23,0.0
2,37.88,1.0
3,46.29,0.0
4,37.85,1.0
5,46.36,0.0
6,37.86,1.0
7,41.86,1.0
8,46.26,0.0
9,46.24,0.0
10,46.28,0.0
11,41.61,1.0
12,40.88,1.0
13,37.96,1.0
14,46.25,0.0
15,37.82,1.0
16,46.25,0.0
17,46.32,0.0
18,46.3,0.0
19,46.19,0.0
20,46.27,0.0
