#coolhash
#coolhash
#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0,1.0761686930005747,-3.568314116400777,-3.0896457417809877,-0.6842337877274483,3.976768731505156,-1.2159949017601293
0.09977261529373341,0.976472465440094,-3.570091906520617,3.125294266997213,-0.6849438198289756,3.9461428713127225,-1.3749429808957927
0.19954523058746682,0.8768051026799103,-3.5650506427320776,3.056745326311721,-0.6891453687316511,3.9112249036132845,-1.499519479549251
0.29931784588120025,0.7777891941308706,-3.5531809875783433,2.9877197611047306,-0.6955379885312419,3.8727843067136716,-1.6138670640043562
0.39909046117493363,0.67977982651489,-3.5344605496873656,2.917831932674591,-0.7055589126174211,3.83098144225516,-1.692174169366781
0.498863076468667,0.583369327477562,-3.5089017423512314,2.846860223464895,-0.71802066788328,3.786654661582302,-1.7570457642615678
0.5986356917624005,0.4890159792912297,-3.4764971833492067,2.7744127683287116,-0.7346887887062566,3.740072649548491,-1.769956208615727
0.6984083070561339,0.3972910362854996,-3.4372685276224755,2.70017673223055,-0.7541464324436494,3.692554279103115,-1.700412949603047
0.7981809223498673,0.30879739617642826,-3.3912629231264853,2.623761349056121,-0.7785243675606973,3.646319762445454,-1.579981900355438
0.8979535376436006,0.22409809670228045,-3.3384996156153566,2.5447106537896214,-0.8066178448489159,3.6028280499310292,-1.3590407389751222
0.997726152937334,0.14398673409028295,-3.2791446703185407,2.462589666589344,-0.8411314454691559,3.5649936689611765,-1.0372381423944683
1.0974987682310675,0.0690270585477779,-3.2131847741748296,2.3766956152813163,-0.8807321769234223,3.535845575733625,-0.5176202975452973
1.197271383524801,0.00029688457088671407,-3.1410477461839283,2.2865048702461612,-0.9299452074572674,3.5212093481934046,-0.36900243970000857
1.2970439988185343,-0.06167013125084144,-3.06267003235755,2.192785474151686,-0.9475356813089213,3.5107381840415477,-0.0476107551250198
1.3968166141122678,-0.11576057375587252,-2.9790842103985145,2.0970119257204702,-0.9743595579013641,3.509384860310633,-0.047610755125011006
1.496589229406001,-0.1617461562049002,-2.890488452439974,2.0033433436441377,-0.9011413055739764,3.508031014496254,0.8627273056322907
1.5963618446997345,-0.19952509748735217,-2.798282577458277,1.9171941210667733,-0.8247514201477832,3.5324827979487905,1.6601537023014492
1.696134459993468,-0.22968411245197307,-2.703285510067282,1.841357221832275,-0.6961081866712189,3.5790655863144636,3.033535472490031
1.7959070752872013,-0.2532121926230712,-2.6062856780753836,1.7783031975365915,-0.5655457826888547,3.6626545027471233,4.361321536078735
1.8956796905809348,-0.2712285776975394,-2.5083113295697466,1.7295212337796249,-0.4140191030719868,3.779592427508116,6.030380419157542
1.995452305874668,-0.2852228673644552,-2.4093897232207557,1.6956212837019373,-0.2649162087895647,3.9355625480161827,7.012455533720162
2.0952249211684015,-0.2965682728638481,-2.3103902750531757,1.6766411327649715,-0.11656336654728137,4.109495665627131,5.430097337395967
2.194997536462135,-0.30678695283277974,-2.2110054387473523,1.6722976966749314,0.02950024514273201,4.239281147920157,-9.22591398326186
2.2947701517558685,-0.31727748354237284,-2.1118534604234513,1.6825472733714282,0.17584332915829792,4.016281553619109,-7.346440401337277
2.394542767049602,-0.3295244153763075,-2.0127505010928606,1.707373553980622,0.3211993434883363,3.829434732967673,-5.733103791613803
2.494315382343335,-0.34492896461613987,-1.9141771395117986,1.7466921519848115,0.46737456812402656,3.6770309838210147,-4.246170152753886
2.5940879976370685,-0.3649170551644996,-1.8164153177142723,1.8007210981188448,0.6156921196786533,3.5599513836195635,-2.6589259162683887
2.693860612930802,-0.3909036747620926,-1.71998832642204,1.869976242485187,0.7731421148107148,3.4846345387512416,-0.9922991830527679
