# x_m,y_m,w_tr_right_m,w_tr_left_m
0.02317796727367849,-0.04722889341193337,1.1,1.1
2.140242386354519,-0.04955344835246578,1.1,1.1
3.9511179479475267,-0.10765915686024741,1.1,1.1
7.046149670841443,-0.3252290327678402,1.1,1.1
9.761751793316195,-0.6984226564229239,1.1,1.1
12.287334763144637,-2.04650535434018,1.1,1.1
12.46102638113116,-4.330638725228614,1.1,1.1
10.415330395546642,-5.723909197727597,1.1,1.1
7.948144860384586,-6.056546064264026,1.1,1.1
4.91453206443388,-6.313735274459919,1.1,1.1
2.4340505970215336,-6.788531703362249,1.1,1.1
-0.03956468511687561,-8.321910064207255,1.1,1.1
2.0575829292700583,-9.852712856365809,1.1,1.1
3.0909449090270673,-10.20790981493312,1.1,1.1
4.1326845034751845,-10.429153792651967,1.1,1.1
6.938245967927438,-11.035756521584156,1.1,1.1
8.175923239591684,-12.949065099604885,1.1,1.1
7.23890770176398,-14.864185546058243,1.1,1.1
5.387976235971346,-15.353770376824949,1.1,1.1
2.3762435033621987,-15.768451455047218,1.1,1.1
-0.2942104557210161,-16.36014257833818,1.1,1.1
-2.1932842090825897,-18.288719503954205,1.1,1.1
-2.843678912796298,-20.74330118496909,1.1,1.1
-4.322917052356129,-22.82954433852781,1.1,1.1
-6.2505148061688,-21.7480540483163,1.1,1.1
-6.439082174893777,-19.208218023960956,1.1,1.1
-6.532587033964919,-16.878889434451,1.1,1.1
-6.661687467530662,-13.769200165576217,1.1,1.1
-6.775543197142948,-10.930379267712732,1.1,1.1
-6.879203161180827,-7.808011804526309,1.1,1.1
-6.935030853286766,-4.88699361607836,1.1,1.1
-6.915995226343678,-2.1987534224369156,1.1,1.1
-5.323007253353112,-0.5510251297811948,1.1,1.1
-2.395256268717093,-0.15854434894481884,1.1,1.1
