#coolhash           
#coolhash           
#s_m                ,x_m                   ,y_m                   ,d_right             ,d_left              ,psi_rad                ,kappa_radpm            ,vx_mps             ,ax_mps2
0.0                 ,-4.835895388253223    ,-21.612034312503333   ,2.7206775636288274  ,0.24139606148983309 ,-0.04646352689837463   ,0.6597469519831245     ,4.264831986763764  ,-0.07031482930767803
0.09998156312101888 ,-4.736005870701384    ,-21.61347686224213    ,2.757393833005052   ,0.24284147729389313 ,0.016655714377635578   ,0.604122237624058      ,4.263183259283351  ,0.9499800623986642
0.19996312624203777 ,-4.636093745337494    ,-21.60887938182828    ,2.761990780230447   ,0.2549440376651269  ,0.07444154429238226    ,0.5532038919148741     ,4.285404588294862  ,1.769585811602633
0.2999446893630566  ,-4.536804408267393    ,-21.598757827094964   ,2.673175156212626   ,0.29705447362283893 ,0.12825446355645598    ,0.5242515952429865     ,4.32649331403855   ,2.114410475538833
0.39992625248407554 ,-4.437876105158009    ,-21.583405036566894   ,2.5792267624479037  ,0.32957887691798665 ,0.17912936825995285    ,0.4930182230046724     ,4.375082687820647  ,2.4889691100536435
0.49990781560509445 ,-4.340059504655428    ,-21.563220604501357   ,2.4873970422400067  ,0.3622433790266242  ,0.22763304721783628    ,0.4795100882300826     ,4.43159684195597   ,2.506955841576672
0.5998893787261133  ,-4.2431153533752815   ,-21.538310932397835   ,2.3981209087901556  ,0.4132037545551505  ,0.2752915193603638     ,0.4741665137737441     ,4.487800050923228  ,2.372261563508472
0.6998709418471322  ,-4.147643937409552    ,-21.508887817338536   ,2.312266866742059   ,0.4586752578329149  ,0.32257106759624055    ,0.4717526225276247     ,4.540342953518986  ,2.1952615045916497
0.7998525049681511  ,-4.053566465747396    ,-21.474963882556235   ,2.2301403904304538  ,0.500575967782389   ,0.3694747099646687     ,0.46235559308575286    ,4.588429523153478  ,2.1843207299388343
0.89983406808917    ,-3.96126214387309     ,-21.436797468225432   ,2.1524832682179427  ,0.5385369877858931  ,0.4141997246382303     ,0.43358997123758114    ,4.635781389455322  ,2.5988695634500143
0.9998156312101889  ,-3.8705126128571608   ,-21.3945770301607     ,2.0761577829866     ,0.5830421877685046  ,0.4562817005872921     ,0.4078323424559181     ,4.691497327444945  ,2.938462570276162
