,times,crashes
0,48.96,1.0
1,21.99,1.0
2,49.51,1.0
3,26.28,1.0
4,18.79,1.0
5,18.68,1.0
6,22.12,1.0
7,49.74,0.0
8,43.66,1.0
9,49.92,0.0
10,49.8,0.0
11,50.04,1.0
12,50.51,0.0
