,s_x,s_y,delta,velocity,yaw,yaw_der,slip_angle,steer_v,acceleration,param,comp_time,lap_finished,out_of_soft
459,-9.660207,-24.460815,0.09395264,5.761238,5.505,2.8085122,-0.25607416,1.898007,-4.0561724,25.156557,0.015299114,0.0,0.0
460,-9.630757,-24.510332,0.11293271,5.7206764,5.5330853,2.821863,-0.25725588,2.0328279,-3.7056606,25.21417,0.014827944,0.0,0.0
461,-9.600203,-24.558697,0.133261,5.68362,5.5613036,2.865582,-0.25722802,1.9962676,-2.9562352,25.271376,0.015363821,0.0,0.0
462,-9.568502,-24.605871,0.15322366,5.6540575,5.5899596,2.8948534,-0.2562961,1.9787931,-2.2333784,25.338213,0.015482479,0.0,0.0
463,-9.535591,-24.651846,0.1730116,5.631724,5.618908,2.9101255,-0.2544904,2.7177193,-1.5920726,25.394753,0.014658226,0.0,0.0
464,-9.501418,-24.69661,0.20018879,5.615803,5.6480093,2.9193954,-0.25184622,2.768933,-1.1166109,25.45107,0.015468775,0.0,0.0
465,-9.465941,-24.740143,0.22787812,5.6046367,5.677203,2.9646807,-0.24812065,2.638131,-0.19035226,25.507229,0.01647748,0.0,0.0
466,-9.429125,-24.7824,0.25425944,5.602733,5.70685,2.9870012,-0.2438189,2.651939,0.7495026,25.563274,0.014462658,0.0,0.0
467,-9.390908,-24.823372,0.28077883,5.6102285,5.73672,2.98169,-0.23897633,2.3563442,1.559955,25.619303,0.014768265,0.0,0.0
468,-9.35124,-24.863043,0.30434227,5.625828,5.766537,2.9672666,-0.23351513,2.151362,2.136843,25.675404,0.014474349,0.0,0.0
469,-9.310082,-24.901398,0.32585588,5.6471963,5.79621,2.9633396,-0.22763288,2.0091896,2.4574757,25.731663,0.014836858,0.0,0.0
470,-9.2674265,-24.938404,0.34594777,5.671771,5.825843,2.9924483,-0.22159526,1.5848763,3.285712,25.788136,0.01500555,0.0,0.0
471,-9.223287,-24.974022,0.36179653,5.704628,5.8557677,2.9817374,-0.21595807,1.4275497,3.7182307,25.834852,0.014684467,0.0,0.0
472,-9.177645,-25.008244,0.37607205,5.7418103,5.885585,2.9754376,-0.21047649,1.0631793,4.4615746,25.8919,0.014422479,0.0,0.0
473,-9.130519,-25.041046,0.38670382,5.786426,5.9153395,2.9301856,-0.20538422,0.8048889,4.908756,25.949316,0.015089682,0.0,0.0
474,-9.081904,-25.07243,0.3947527,5.8355136,5.944641,2.8807688,-0.20039986,0.60367054,5.834576,25.99718,0.014372427,0.0,0.0
475,-9.031821,-25.102379,0.4007894,5.8938594,5.9734488,2.7635603,-0.19577561,0.2390025,5.9742413,26.055536,0.014462143,0.0,0.0
476,-8.980254,-25.13092,0.40317944,5.953602,6.0010843,2.6836693,-0.19071253,0.39300686,7.395589,26.104475,0.015151048,0.0,0.0
477,-8.92725,-25.158031,0.40710953,6.027558,6.027921,2.4725568,-0.18621024,-0.20843855,7.24868,26.164011,0.014993504,0.0,0.0
478,-8.872753,-25.183786,0.40502512,6.1000447,6.0526466,2.3482985,-0.18044654,0.34686655,7.9086103,26.264286,0.01485309,0.0,0.0
479,-8.816833,-25.208157,0.4084938,6.1791306,6.07613,2.1888263,-0.17479816,-0.7621419,7.3951354,26.325287,0.015310078,0.0,0.0
480,-8.759492,-25.231182,0.40087238,6.2530823,6.098018,2.1490445,-0.16827755,0.28629744,9.18032,26.377079,0.014124408,0.0,0.0
481,-8.700826,-25.252827,0.40373534,6.3448853,6.1195083,1.9247326,-0.16331741,-1.1178747,8.919267,26.43961,0.014579799,0.0,0.0
482,-8.640739,-25.273207,0.3925566,6.4340777,6.138756,1.7999506,-0.15699725,-0.3756683,9.509994,26.503057,0.015093233,0.0,0.0
483,-8.579299,-25.292309,0.38879994,6.529178,6.1567554,1.6400121,-0.15100324,-1.4016995,9.5099535,26.557398,0.014526825,0.0,0.0
484,-8.516504,-25.31019,0.37478292,6.6242776,6.1731553,1.5285331,-0.14453018,-0.77389324,9.509999,26.62269,0.014352091,0.0,0.0
485,-8.452396,-25.326872,0.367044,6.7193775,6.188441,1.4383972,-0.1382426,-1.6429846,9.509998,26.688932,0.015604639,0.0,0.0
