Fri Feb 18 16:08:50 2022    log.dat

         31905354 function calls (30848552 primitive calls) in 54.070 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    80570    0.155    0.000    0.373    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/core/shape_base.py:24(atleast_1d)
    80556    0.153    0.000    0.153    0.000 {built-in method scipy.interpolate._fitpack._spl_}
7583/7369    0.153    0.000    0.530    0.000 {built-in method builtins.__build_class__}
   331882    0.148    0.000    0.777    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/core/_asarray.py:23(asarray)
    35683    0.147    0.000    0.195    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/_api/__init__.py:64(check_isinstance)
     7264    0.146    0.000    0.188    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/transforms.py:2799(nonsingular)
   186904    0.141    0.000    0.141    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/transforms.py:107(__init__)
    59255    0.137    0.000    0.169    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/contextlib.py:86(__init__)
51014/48301    0.136    0.000    0.267    0.000 {built-in method builtins.sorted}
     7232    0.134    0.000    0.465    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/ticker.py:808(_compute_offset)
    49382    0.132    0.000    0.220    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/cbook/__init__.py:2094(_setattr_cm)
    80556    0.129    0.000    1.734    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/scipy/interpolate/fitpack2.py:326(__call__)
     7232    0.128    0.000    0.311    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/ticker.py:847(_set_order_of_magnitude)
    23504    0.127    0.000    0.127    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/transforms.py:2879(_interval_contains_close)
      685    0.123    0.000    0.128    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/controlflow.py:577(_find_back_edges)
674386/661245    0.122    0.000    0.129    0.000 {built-in method builtins.len}
2665/1891    0.122    0.000    5.664    0.003 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/types/functions.py:281(get_call_type)
     2648    0.122    0.000    0.122    0.000 {method 'read' of '_io.BufferedReader' objects}
     8136    0.117    0.000    2.381    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/backends/backend_agg.py:190(draw_text)
    76311    0.116    0.000    0.963    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
33464/33448    0.115    0.000    0.525    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/axes/_base.py:766(_unstale_viewLim)
183997/178727    0.113    0.000    1.110    0.000 {built-in method builtins.next}
     3968    0.112    0.000    0.399    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/np/numpy_support.py:355(ufunc_find_matching_loop)
     2222    0.109    0.000    0.129    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/instructions.py:163(__init__)
    24408    0.109    0.000    0.588    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/text.py:287(_get_layout)
59252/56897    0.108    0.000    0.307    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/contextlib.py:121(__exit__)
      344    0.107    0.000    0.113    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/gl/xlib.py:187(__init__)
    14914    0.105    0.000    0.209    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/core/_methods.py:90(_clip_dep_is_scalar_nan)
   101872    0.105    0.000    0.168    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/enum.py:334(__call__)
   202383    0.104    0.000    0.130    0.000 {built-in method _abc._abc_instancecheck}
110444/110098    0.103    0.000    0.249    0.000 {built-in method builtins.any}
     9040    0.103    0.000    0.471    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/lib/arraypad.py:529(pad)
    24408    0.102    0.000    0.426    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/text.py:834(get_prop_tup)
     2555    0.099    0.000    0.117    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/gl/lib_glx.py:58(link_GL)
   429287    0.097    0.000    0.097    0.000 {function Config.__getitem__ at 0x7f235155bdc0}
   113910    0.097    0.000    0.260    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/event.py:227(notify)
    68086    0.096    0.000    0.439    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/colors.py:178(to_rgba)
100696/54588    0.095    0.000    0.120    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/transforms.py:2369(<lambda>)
     3681    0.094    0.000    0.156    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/axes/_base.py:2763(_get_axis_map)
    98957    0.094    0.000    0.094    0.000 {method 'match' of 're.Pattern' objects}
       26    0.094    0.004    0.094    0.004 {built-in method posix.read}
     7232    0.093    0.000    0.108    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/ticker.py:2020(scale_range)
    64039    0.093    0.000    0.384    0.000 <__array_function__ internals>:2(dot)
    14238    0.092    0.000    0.209    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/ctypeslib.py:520(as_ctypes)
    19538    0.090    0.000    0.106    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/transforms.py:207(set_children)
     7232    0.090    0.000    0.503    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/transforms.py:487(transformed)
      227    0.089    0.000    0.091    0.000 /home/gnone/edoardo-ghignone/pbl_f110_gym/gym/f110_gym/envs/laser_models.py:148(get_scan)
     8136    0.089    0.000    7.590    0.001 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/axis.py:294(draw)
     9492    0.089    0.000    0.333    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/patches.py:546(_bind_draw_path_function)
14524/14523    0.088    0.000    0.359    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/transforms.py:1758(__eq__)
     3616    0.087    0.000    1.105    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/axis.py:2268(get_tick_space)
   298535    0.087    0.000    0.143    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/ir.py:1211(find_insts)
     7600    0.087    0.000    0.388    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/font_manager.py:638(__init__)
177636/121422    0.086    0.000    0.335    0.000 {built-in method builtins.hash}
