Fri Feb 18 16:08:50 2022    log.dat

         31905354 function calls (30848552 primitive calls) in 54.070 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6475    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/ir.py:1254(terminator)
      225    0.002    0.000    0.015    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/backends/_backend_tk.py:153(<lambda>)
      759    0.002    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/text/layout.py:703(__eq__)
     1820    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/spines.py:582(__iter__)
      246    0.002    0.000    0.009    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typeinfer.py:208(__call__)
      212    0.002    0.000    0.023    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/callconv.py:478(get_function_type)
      381    0.002    0.000    0.436    0.001 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/text/document.py:411(insert_text)
      289    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1486(_fill_cache)
      379    0.002    0.000    0.030    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/text/document.py:434(delete_text)
      731    0.002    0.000    0.026    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/values.py:607(<listcomp>)
       55    0.002    0.000    0.347    0.006 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/untyped_passes.py:192(run_pass)
      301    0.002    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typing/context.py:134(__init__)
      429    0.002    0.000    0.034    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/artist.py:1356(get_valid_values)
      381    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/text/document.py:427(_insert_text)
      878    0.002    0.000    0.008    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/byteflow.py:348(op_LOAD_FAST)
       32    0.002    0.000    0.139    0.004 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/cpython/listobj.py:226(allocate_ex)
      289    0.002    0.000    0.003    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/configparser.py:1240(__init__)
      742    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/ntpath.py:124(splitdrive)
       17    0.002    0.000    0.005    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/subprocess.py:1207(_close_pipe_fds)
      382    0.002    0.000    0.007    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/text/layout.py:257(__init__)
     4602    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pkg_resources/_vendor/packaging/version.py:226(<genexpr>)
       24    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/graphics/vertexbuffer.py:426(resize)
      227    0.002    0.000    0.009    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/image/__init__.py:1923(get_color_buffer)
      286    0.002    0.000    0.004    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/base.py:86(_sort_signatures)
      878    0.002    0.000    0.021    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/interpreter.py:1025(op_LOAD_FAST)
      900    0.002    0.000    0.006    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/instructions.py:382(descr)
      169    0.002    0.000    0.066    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/base.py:426(declare_function)
     6878    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/linalg/linalg.py:2358(_norm_dispatcher)
     1985    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/_collections_abc.py:801(__init__)
      651    0.002    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typeinfer.py:1711(typeof_intrinsic_call)
     1968    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/ssa.py:248(on_assign)
     1759    0.002    0.000    0.048    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/instructions.py:139(descr)
      308    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/values.py:36(<listcomp>)
      116    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/weakref.py:558(__init__)
     4253    0.002    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/ir.py:1041(is_temp)
      464    0.002    0.000    0.004    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/enum.py:948(__and__)
     1712    0.002    0.000    0.003    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/posixpath.py:60(isabs)
      883    0.002    0.000    0.004    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/yaml/constructor.py:67(construct_object)
      227    0.002    0.000    0.002    0.000 /home/gnone/edoardo-ghignone/pbl_f110_gym/gym/f110_gym/envs/laser_models.py:188(check_ttc_jit)
     8419    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/types.py:246(wrap_constant_value)
     1444    0.002    0.000    0.025    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pkg_resources/_vendor/packaging/version.py:21(parse)
     9625    0.002    0.000    0.002    0.000 {built-in method _warnings._filters_mutated}
      272    0.002    0.000    0.005    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/untyped_passes.py:336(_do_work)
      520    0.002    0.000    0.161    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/transforms.py:310(canonicalize_cfg)
     1088    0.002    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/yaml/scanner.py:295(save_possible_simple_key)
     4551    0.002    0.000    0.002    0.000 {method '__exit__' of '_thread.RLock' objects}
     1157    0.002    0.000    0.007    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/ir.py:1130(redefine)
      330    0.002    0.000    0.017    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/callconv.py:447(_return_errcode_raw)
      307    0.002    0.000    0.004    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/wandb/sdk/wandb_settings.py:865(_update)
      731    0.002    0.000    0.024    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/binding/passmanagers.py:225(finalize)
      293    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1259(_path_hooks)
     2079    0.002    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/yaml/scanner.py:1416(scan_line_break)
      644    0.002    0.000    0.008    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/event.py:321(install_timer)
      903    0.002    0.000    0.004    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/gl/gl_info.py:98(<genexpr>)
       50    0.002    0.000    2.304    0.046 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/codegen.py:740(finalize)
      454    0.002    0.000    0.024    0.000 <__array_function__ internals>:2(stack)
       55    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/untyped_passes.py:573(run_pass)
     7558    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/font/base.py:62(<lambda>)
      226    0.002    0.000   30.348    0.134 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/artist.py:72(draw_wrapper)
      227    0.002    0.000    0.222    0.001 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/window/__init__.py:1852(_hook_flip)
     5923    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typeinfer.py:113(defined)
      565    0.002    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/ir.py:971(__str__)
       80    0.002    0.000    0.015    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/ir.py:111(strformat)
     2191    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/analysis.py:182(<genexpr>)
       49    0.002    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typed_passes.py:477(run_pass)
      380    0.002    0.000    0.005    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/graphics/vertexdomain.py:406(delete)
     2978    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/datamodel/models.py:48(get_argument_type)
      188    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/colors.py:989(<listcomp>)
      731    0.002    0.000    0.153    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/binding/passmanagers.py:232(run)
      454    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/core/shape_base.py:425(<setcomp>)
        1    0.002    0.002    0.070    0.070 car_tester.py:98(<listcomp>)
     1439    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/utils.py:203(__init__)
     1572    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pkg_resources/__init__.py:2646(key)
       12    0.002    0.000    0.025    0.002 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/inspect.py:986(getblock)
     1910    0.002    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/text/layout.py:845(_parse_distance)
      906    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/graphics/vertexattribute.py:387(enable)
     5734    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/text/document.py:278(text)
     2832    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/bytecode.py:67(__init__)
     1571    0.002    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/types.py:444(elements)
     3204    0.002    0.000    0.012    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/ir_utils.py:2183(<listcomp>)
      105    0.002    0.000    0.053    0.001 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/codegen.py:685(_get_module_for_linking)
  256/240    0.002    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/spines.py:330(get_spine_transform)
      601    0.002    0.000    0.017    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/interpreter.py:1464(_binop)
      284    0.002    0.000    0.002    0.000 {built-in method _locale.nl_langinfo}
      163    0.002    0.000    0.029    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typeinfer.py:703(__call__)
     1507    0.002    0.000    0.012    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/values.py:127(_to_string)
      227    0.002    0.000    0.005    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/graphics/vertexdomain.py:606(vertices)
      685    0.002    0.000    0.129    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/controlflow.py:205(_back_edges)
  122/116    0.002    0.000    0.021    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/datamodel/models.py:547(_as)
       49    0.002    0.000    0.260    0.005 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/lowering.py:24(__init__)
     8898    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/pprint.py:92(__lt__)
     1746    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/wandb/vendor/graphql-core-1.1/graphql/language/parser.py:68(loc)
    55/14    0.002    0.000    5.648    0.403 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typed_passes.py:98(run_pass)
     4558    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typing/context.py:311(<listcomp>)
     1186    0.002    0.000    0.049    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typed_passes.py:663(_do_work_expr)
      227    0.002    0.000    0.002    0.000 /home/gnone/edoardo-ghignone/pbl_f110_gym/gym/f110_gym/envs/collision_models.py:184(collision_multiple)
      149    0.002    0.000    0.017    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/binding/targets.py:9(get_process_triple)
     1252    0.002    0.000    0.024    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/__init__.py:574(__setitem__)
      226    0.002    0.000    0.314    0.001 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/gym/wrappers/order_enforcing.py:9(step)
      742    0.002    0.000    0.009    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pkg_resources/__init__.py:1493(_validate_resource_path)
     4186    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
      226    0.002    0.000    6.983    0.031 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/backend_bases.py:1788(draw_event)
     5201    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/lib/function_base.py:4686(_append_dispatcher)
       11    0.002    0.000    0.203    0.018 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/ctypes/util.py:270(_findSoname_ldconfig)
      731    0.002    0.000    0.024    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/binding/passmanagers.py:218(initialize)
      721    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/tkinter/__init__.py:1881(__init__)
      382    0.002    0.000    0.004    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/text/runlist.py:290(__init__)
      227    0.002    0.000    0.004    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/graphics/vertexdomain.py:592(vertices)
      592    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/ir.py:63(__str__)
      428    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
  450/303    0.002    0.000    0.285    0.001 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/base.py:268(refresh)
     2665    0.002    0.000    0.005    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/byteflow.py:1372(has_active_try)
     2409    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:811(find_spec)
      596    0.002    0.000    0.100    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/artist.py:1152(set)
      620    0.002    0.000    0.008    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/byteflow.py:1035(_binaryop)
      917    0.002    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/types/functions.py:274(get_impl_key)
      986    0.002    0.000    0.002    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/genericpath.py:121(_splitext)
        7    0.002    0.000    0.002    0.000 {built-in method gc.collect}
     2642    0.001    0.000    0.004    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/ir.py:1100(get)
      295    0.001    0.000    0.011    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/types/scalars.py:78(__init__)
     8793    0.001    0.000    0.001    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/types/abstract.py:480(initial_value)
      321    0.001    0.000    0.001    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/sre_compile.py:413(<listcomp>)
      769    0.001    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/__init__.py:825(<lambda>)
       55    0.001    0.000    0.006    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/bytecode.py:296(from_function)
       55    0.001    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/interpreter.py:396(_legalize_exception_vars)
      720    0.001    0.000    0.012    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/wandb/vendor/graphql-core-1.1/graphql/language/parser.py:175(parse_name)
      399    0.001    0.000    0.004    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/font_manager.py:1206(score_weight)
      396    0.001    0.000    0.021    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/text.py:173(update)
     1668    0.001    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pkg_resources/__init__.py:2821(__getattr__)
      250    0.001    0.000    0.010    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/importlib/metadata.py:444(search)
      148    0.001    0.000    0.021    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/codegen.py:1199(_create_empty_module)
     1373    0.001    0.000    0.011    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/re.py:203(sub)
     1096    0.001    0.000    0.009    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/typing.py:660(__init__)
      212    0.001    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/lines.py:1111(set_linestyle)
     1372    0.001    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typing/context.py:486(_insert_global)
     1286    0.001    0.000    0.004    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/lowering.py:1312(getvar)
     55/5    0.001    0.000   10.075    2.015 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/compiler.py:445(_compile_core)
     1535    0.001    0.000    0.004    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/instructions.py:34(<listcomp>)
     1000    0.001    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/binding/ffi.py:253(__del__)
      731    0.001    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/values.py:584(__repr__)
     1704    0.001    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/datamodel/models.py:681(get_type)
      731    0.001    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/values.py:554(__init__)
      348    0.001    0.000    0.014    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/typing.py:815(__getitem__)
        2    0.001    0.001    0.004    0.002 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/json/decoder.py:343(raw_decode)
        1    0.001    0.001    0.062    0.062 car_tester.py:100(<listcomp>)
       56    0.001    0.000    0.044    0.001 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/codegen.py:768(_finalize_dynamic_globals)
     3600    0.001    0.000    0.008    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/base.py:379(_insert_getattr_defn)
      110    0.001    0.000    0.016    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/untyped_passes.py:162(run_pass)
      995    0.001    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/instructions.py:481(descr)
     1662    0.001    0.000    0.009    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/builder.py:290(_branch_helper)
      900    0.001    0.000    0.010    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/instructions.py:379(__init__)
      929    0.001    0.000    0.003    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/sre_parse.py:432(_uniq)
      617    0.001    0.000    0.033    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/base.py:987(_make_helper)
      219    0.001    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/datamodel/packer.py:190(unflatten)
     2887    0.001    0.000    0.004    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/bytecode.py:143(_patched_opargs)
     1102    0.001    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typing/setdecl.py:157(generic)
      592    0.001    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/binding/module.py:52(__init__)
      539    0.001    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/font_manager.py:955(_json_decode)
       43    0.001    0.000    0.004    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/options.py:45(_apply)
     2344    0.001    0.000    0.002    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/types.py:171(__get__)
      278    0.001    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typing/templates.py:62(replace)
      742    0.001    0.000    0.013    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pkg_resources/__init__.py:1487(_fn)
     1808    0.001    0.000    0.001    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/axes/_base.py:1416(get_aspect)
      382    0.001    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/text/runlist.py:70(__init__)
      260    0.001    0.000    0.001    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/dispatcher.py:735(__repr__)
     2142    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:946(__init__)
     1688    0.001    0.000    0.001    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/functools.py:65(wraps)
     2438    0.001    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/types.py:137(gep)
   150/38    0.001    0.000    4.489    0.118 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/dispatcher.py:362(get_call_template)
  333/108    0.001    0.000    0.024    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/wandb/vendor/graphql-core-1.1/graphql/language/parser.py:308(parse_field)
      624    0.001    0.000    0.006    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/compat/_inspect.py:96(getargspec)
     1608    0.001    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/builder.py:173(_label_suffix)
      777    0.001    0.000    0.008    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/text/layout.py:700(__hash__)
      227    0.001    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/image/__init__.py:1999(get_buffer_manager)
     2665    0.001    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/byteflow.py:1278(advance_pc)
      260    0.001    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/types/functions.py:538(__init__)
        4    0.001    0.000    0.008    0.002 /home/gnone/edoardo-ghignone/pbl_f110_gym/splinify_package/src/splinify/splinify.py:753(find_params)
      104    0.001    0.000    0.002    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/inline_closurecall.py:280(__init__)
      196    0.001    0.000    0.051    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/binding/linker.py:5(link_modules)
      856    0.001    0.000    0.012    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/base.py:480(get_data_type)
     2792    0.001    0.000    0.001    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2251(_any_dispatcher)
       60    0.001    0.000    0.009    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typed_passes.py:857(<listcomp>)
       55    0.001    0.000    0.003    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/dis.py:430(findlabels)
      504    0.001    0.000    0.122    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pkg_resources/__init__.py:2047(find_on_path)
     1724    0.001    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typing/listdecl.py:152(generic)
      593    0.001    0.000    0.031    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/base.py:326(get_arg_packer)
      969    0.001    0.000    0.046    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/lowering.py:1407(incref)
     1709    0.001    0.000    0.004    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/sre_compile.py:423(_simple)
    49/29    0.001    0.000    3.811    0.131 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/lowering.py:201(lower_function_body)
      172    0.001    0.000    0.010    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/posixpath.py:449(relpath)
     3088    0.001    0.000    0.003    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/analysis.py:138(<genexpr>)
       91    0.001    0.000    0.048    0.001 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/codegen.py:1230(_function_pass_manager)
