x, y 
-75.01207197747053, -82.91388201707004 
-75.57365976576892, -82.92269916219126 
-76.18258412400937, -82.92863753338152 
-76.83806775264725, -82.93224420782866 
-77.51722910130806, -82.93347176113556 
-78.13056448233635, -82.93114030046918 
-78.72961901042535, -82.92434799414931 
-79.207621554737, -82.91359990263517 
-79.64227637630603, -82.89721603527975 
-80.05110342359782, -82.87442193370757 
-80.40864643593777, -82.84826199327566 
-81.15894312606599, -82.78228532992902 
-84.18372426141508, -82.41890716439647 
-87.38145714653177, -81.83002724518266 
-90.28094774327005, -81.1079332966139 
-93.12581792820599, -80.2171898677 
-96.14289033478659, -79.06304933708762 
-98.84826713078479, -77.83294244936727 
-101.47405632002904, -76.44586577727279 
-104.0121994098928, -74.90560924188932 
-106.65897470264042, -73.06349382781525 
-108.410563163499, -71.69778764996181 
-110.09350632030389, -70.25941865626709 
-111.67460739591803, -68.78252660836188 
-113.11590017833589, -67.32179931419168 
-115.27382048218627, -64.89598204073636 
-117.2724471930882, -62.32341547791705 
-118.85104384418, -60.01359660098021 
-120.08571761158737, -57.99298905369252 
-121.22045856728207, -55.92284159669204 
-122.37805968689969, -53.53160983199416 
-123.29791018609879, -51.36196189431435 
-124.1149224500258, -49.14843354308428 
-124.82821959758932, -46.89271771171558 
-125.43692474769793, -44.596507333619854 
-125.99569586200101, -41.96586422694068 
-126.37874958763217, -39.591292747757564 
-126.54424663232622, -38.274021866916314 
-126.64140500228368, -37.35904317487076 
-126.67853315061446, -36.87340516811484 
-126.70892517179803, -36.33648065130822 
-126.73412922497678, -35.70037049907668 
-126.75028206366093, -35.05908511056137 
-126.760773602141, -34.35885253193479 
-126.76627676860275, -33.59497306616949 
-126.76753988722646, -32.842456975032405 
-126.76425842509376, -31.9930823396044 
-126.75527204428172, -31.211811817561454 
-126.74006931108066, -30.471167595906977 
-126.71769741042937, -29.80398690367221 
-126.68735340364043, -29.18915629708836 
-126.6499218751263, -28.631894312665054 
-126.58973059496826, -28.012796982611647 
-126.48547335975168, -27.11476134839384 
-126.31941849527219, -25.88790311423503 
-125.94251982786889, -23.632774236264808 
-125.42055107817944, -21.215204275165775 
-124.78417593741116, -18.83816234813392 
-124.03453910777387, -16.50364698437228 
-123.17278529147734, -14.21365671308395 
-122.20005919073137, -11.97019006347196 
-121.11750550774575, -9.775245564739436 
-119.92626894473027, -7.6308217460893815 
-118.62749420389473, -5.538917136724848 
-117.00036230159407, -3.201205927005404 
-114.92543085773403, -0.82118464232039 
-112.70169188974272, 1.683147973694076 
-110.54037967262704, 3.630304112917827 
-108.06839548205235, 6.78647767651205 
-105.4493818922598, 8.37667587426782 
-102.74754508687946, 9.00948394501248 
-99.90770908476983, 11.98014473451369 
-97.003477147995, 12.94382016334836 
-93.97193448151302, 14.13575220799922 
-90.89276489675483, 15.28452784586321 
-87.39422315641585, 15.22807881130112 
-84.16026923205183, 16.20981522265473 
-81.21875948906909, 16.8148037373243 
-79.59108197373772, 16.99954592519956 
-77.56143369973304, 17.61112532532277 
-75.55241754432495, 17.5230937903842 
-73.47765719736032, 16.69667992180447 
-70.87344586792375, 16.22248757116844 
-68.23406117728956, 16.3120187701944 
-65.6417698333274, 15.07980821013231 
-63.09304453212492, 15.51694822063448 
-60.5843579697698, 14.61453113135425 
-58.27199159991535, 13.00034366437532 
-56.120794614597685, 12.81773232734989 
-53.8987811515624, 11.07581828921232 
-51.48604049669241, 10.82372410552475 
-49.1482698516819, 8.23791460306742 
-46.636333148403054, 6.42631910878092 
-44.72396969979569, 5.2227950949389 
-42.654028189419975, 3.901380510059795 
-40.73069496578837, 1.6941747699253824 
-38.91400950153232, -0.3006603520440194 
-37.02494315249598, -2.6295554735787903 
-35.44788433105626, -4.81551183326809 
-34.069670539671165, -6.956898220999662 
-32.919872701613244, -8.953375108637928 
-31.83090914411204, -11.063836395848384 
-30.794579527360824, -13.334465950427699 
-29.87082042690713, -15.654099981691445 
-29.063050694582515, -18.015144998196817 
-28.37468918221859, -20.41000750850094 
-27.809154741646893, -22.831094021160993 
-27.445584700648368, -24.761347514321443 
-27.165670021881738, -26.633705205158535 
-26.980982560398814, -28.348533491002428 
-26.847215848926623, -30.459592185665386 
-26.7962160313958, -33.259898104380014 
-26.86104480107562, -35.9191982682521 
-27.066070413294455, -38.36842692684425 
-27.56011229881787, -41.79179928666794 
-28.212994907089325, -44.85248594709422 
-29.059272978810966, -47.87091751498764 
-30.18399686889323, -51.074609697206014 
-31.411925065245725, -53.95842316820659 
-32.93965779252656, -56.98326091834454 
-34.66019552560492, -59.88364284950514 
-37.163143183426385, -63.445566555482195 
-39.92878738524257, -66.73706501662906 
-43.001437611951644, -69.81103995840895 
-46.29270645584067, -72.57897289370513 
-49.82141329413557, -75.0579339013334 
-52.749031574240206, -76.79839475707777 
-55.11672958913783, -78.0171318133388 
-57.9204076445225, -79.26263469390474 
-60.799077365379276, -80.33453414886264 
-63.748214156457976, -81.23003242674486 
-66.58630860107388, -81.90903808324663 
-68.88545127848633, -82.33465107396455 
-69.80779693543951, -82.4743685064403 
-70.85031107294506, -82.61216665221198 
-71.79883982331384, -82.72201958902176 
-72.94519927973985, -82.82405305878538 
-73.76495847785021, -82.87501466278928 
-74.09081585921362, -82.88908249450535 
-74.50238942284905, -82.9020343107032 
