"Step","MPC_MPCC_f_2022_01_13_11_40_50 - position_x","MPC_MPCC_f_2022_01_13_11_40_50 - position_x__MIN","MPC_MPCC_f_2022_01_13_11_40_50 - position_x__MAX"
"0","1.0233378410339355","1.0233378410339355","1.0233378410339355"
"1","1.0242888927459717","1.0242888927459717","1.0242888927459717"
"2","1.0261908769607544","1.0261908769607544","1.0261908769607544"
"3","1.0290437936782837","1.0290437936782837","1.0290437936782837"
"4","1.0328477621078491","1.0328477621078491","1.0328477621078491"
"5","1.0376025438308716","1.0376025438308716","1.0376025438308716"
"6","1.0433084964752197","1.0433084964752197","1.0433084964752197"
"7","1.049965262413025","1.049965262413025","1.049965262413025"
"8","1.0575730800628662","1.0575730800628662","1.0575730800628662"
"9","1.066131830215454","1.066131830215454","1.066131830215454"
"10","1.0756416320800781","1.0756416320800781","1.0756416320800781"
"11","1.0861023664474487","1.0861023664474487","1.0861023664474487"
"12","1.097514033317566","1.097514033317566","1.097514033317566"
"13","1.1098767518997192","1.1098767518997192","1.1098767518997192"
"14","1.1231904029846191","1.1231904029846191","1.1231904029846191"
"15","1.1374551057815552","1.1374551057815552","1.1374551057815552"
"16","1.1526707410812378","1.1526707410812378","1.1526707410812378"
"17","1.168837308883667","1.168837308883667","1.168837308883667"
"18","1.1859549283981323","1.1859549283981323","1.1859549283981323"
"19","1.2040233612060547","1.2040233612060547","1.2040233612060547"
"20","1.2230427265167236","1.2230427265167236","1.2230427265167236"
"21","1.2430131435394287","1.2430131435394287","1.2430131435394287"
"22","1.2639343738555908","1.2639343738555908","1.2639343738555908"
"23","1.285806655883789","1.285806655883789","1.285806655883789"
"24","1.3086298704147339","1.3086298704147339","1.3086298704147339"
"25","1.3324040174484253","1.3324040174484253","1.3324040174484253"
"26","1.3571289777755737","1.3571289777755737","1.3571289777755737"
"27","1.3828049898147583","1.3828049898147583","1.3828049898147583"
"28","1.4094316959381104","1.4094316959381104","1.4094316959381104"
"29","1.437009334564209","1.437009334564209","1.437009334564209"
"30","1.4655377864837646","1.4655377864837646","1.4655377864837646"
"31","1.4950170516967773","1.4950170516967773","1.4950170516967773"
"32","1.5254472494125366","1.5254472494125366","1.5254472494125366"
"33","1.5568281412124634","1.5568281412124634","1.5568281412124634"
"34","1.5891597270965576","1.5891597270965576","1.5891597270965576"
"35","1.6224421262741089","1.6224421262741089","1.6224421262741089"
"36","1.6566752195358276","1.6566752195358276","1.6566752195358276"
"37","1.6918588876724243","1.6918588876724243","1.6918588876724243"
"38","1.727993130683899","1.727993130683899","1.727993130683899"
"39","1.7650779485702515","1.7650779485702515","1.7650779485702515"
"40","1.8031132221221924","1.8031132221221924","1.8031132221221924"
"41","1.8420989513397217","1.8420989513397217","1.8420989513397217"
"42","1.8820350170135498","1.8820350170135498","1.8820350170135498"
"43","1.9229212999343872","1.9229212999343872","1.9229212999343872"
"44","1.9647578001022339","1.9647578001022339","1.9647578001022339"
"45","2.00754451751709","2.00754451751709","2.00754451751709"
"46","2.051281213760376","2.051281213760376","2.051281213760376"
"47","2.0959677696228027","2.0959677696228027","2.0959677696228027"
"48","2.14160418510437","2.14160418510437","2.14160418510437"
"49","2.188190221786499","2.188190221786499","2.188190221786499"
"50","2.2357258796691895","2.2357258796691895","2.2357258796691895"
"51","2.2842113971710205","2.2842113971710205","2.2842113971710205"
"52","2.333646059036255","2.333646059036255","2.333646059036255"
"53","2.3840301036834717","2.3840301036834717","2.3840301036834717"
"54","2.435363292694092","2.435363292694092","2.435363292694092"
"55","2.487645387649536","2.487645387649536","2.487645387649536"
"56","2.540876626968384","2.540876626968384","2.540876626968384"
"57","2.5950567722320557","2.5950567722320557","2.5950567722320557"
"58","2.6501855850219727","2.6501855850219727","2.6501855850219727"
"59","2.7062628269195557","2.7062628269195557","2.7062628269195557"
"60","2.763288736343384","2.763288736343384","2.763288736343384"
"61","2.821262836456299","2.821262836456299","2.821262836456299"
"62","2.880185127258301","2.880185127258301","2.880185127258301"
"63","2.9400553703308105","2.9400553703308105","2.9400553703308105"
"64","3.000873565673828","3.000873565673828","3.000873565673828"
"65","3.0626397132873535","3.0626397132873535","3.0626397132873535"
"66","3.1253533363342285","3.1253533363342285","3.1253533363342285"
"67","3.189014434814453","3.189014434814453","3.189014434814453"
"68","3.2536227703094482","3.2536227703094482","3.2536227703094482"
"69","3.319178342819214","3.319178342819214","3.319178342819214"
"70","3.385680913925171","3.385680913925171","3.385680913925171"
"71","3.4531302452087402","3.4531302452087402","3.4531302452087402"
"72","3.521526575088501","3.521526575088501","3.521526575088501"
"73","3.590869426727295","3.590869426727295","3.590869426727295"
"74","3.661158800125122","3.661158800125122","3.661158800125122"
"75","3.7323946952819824","3.7323946952819824","3.7323946952819824"
"76","3.804577350616455","3.804577350616455","3.804577350616455"
"77","3.877706527709961","3.877706527709961","3.877706527709961"
"78","3.951781988143921","3.951781988143921","3.951781988143921"
"79","4.026791572570801","4.026791572570801","4.026791572570801"
"80","4.102724552154541","4.102724552154541","4.102724552154541"
"81","4.179569244384766","4.179569244384766","4.179569244384766"
"82","4.257308483123779","4.257308483123779","4.257308483123779"
"83","4.335916996002197","4.335916996002197","4.335916996002197"
"84","4.415369033813477","4.415369033813477","4.415369033813477"
"85","4.495641231536865","4.495641231536865","4.495641231536865"
"86","4.576705455780029","4.576705455780029","4.576705455780029"
"87","4.658536911010742","4.658536911010742","4.658536911010742"
"88","4.7411088943481445","4.7411088943481445","4.7411088943481445"
"89","4.824393272399902","4.824393272399902","4.824393272399902"
"90","4.908357620239258","4.908357620239258","4.908357620239258"
"91","4.992969036102295","4.992969036102295","4.992969036102295"
"92","5.078196048736572","5.078196048736572","5.078196048736572"
"93","5.164011001586914","5.164011001586914","5.164011001586914"
"94","5.250381946563721","5.250381946563721","5.250381946563721"
"95","5.337296962738037","5.337296962738037","5.337296962738037"
"96","5.424737930297852","5.424737930297852","5.424737930297852"
"97","5.5126824378967285","5.5126824378967285","5.5126824378967285"
