,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12
1283,-96.68509,-96.58004,-96.449005,-96.72275,-96.43471,-96.700966,-96.863914,-96.7987,-96.54702,-96.69691,-96.74114,-96.49352,-96.58835,-31.914286,-31.908749,-31.889193,-31.924557,-31.888197,-31.925451,-31.942759,-31.93129,-31.905209,-31.926826,-31.931442,-31.895727,-31.909243
1284,-96.7847,-96.6797,-96.54873,-96.822334,-96.53443,-96.80056,-96.96341,-96.89823,-96.646706,-96.7965,-96.84071,-96.59323,-96.68801,-31.923204,-31.917011,-31.896748,-31.933716,-31.895668,-31.934494,-31.952864,-31.940943,-31.913288,-31.935844,-31.94075,-31.903522,-31.917553
1285,-96.88425,-96.77932,-96.6484,-96.92186,-96.63412,-96.90009,-97.06283,-96.9977,-96.74633,-96.89604,-96.940216,-96.69288,-96.78762,-31.932741,-31.925888,-31.904892,-31.943514,-31.903727,-31.944178,-31.963633,-31.95124,-31.921978,-31.945503,-31.950706,-31.911915,-31.926481
1286,-96.983734,-96.87887,-96.748024,-97.02131,-96.73374,-96.99956,-97.16217,-97.09711,-96.8459,-96.99551,-97.03965,-96.79248,-96.88716,-31.942907,-31.935394,-31.913635,-31.953964,-31.912384,-31.954514,-31.97508,-31.962198,-31.931286,-31.955816,-31.961325,-31.92091,-31.936037
1287,-97.083145,-96.978355,-96.847595,-97.1207,-96.83332,-97.09895,-97.26143,-97.19643,-96.94541,-97.0949,-97.139015,-96.89202,-96.98665,-31.953716,-31.94554,-31.922989,-31.965084,-31.921648,-31.96552,-31.987223,-31.97383,-31.941227,-31.966799,-31.972618,-31.93052,-31.946234
1288,-97.18249,-97.077774,-96.9471,-97.21999,-96.93284,-97.198265,-97.360596,-97.29566,-97.04485,-97.19422,-97.23829,-96.9915,-97.08606,-31.965183,-31.956337,-31.932962,-31.976883,-31.93153,-31.97721,-32.000072,-31.986153,-31.951813,-31.978464,-31.984602,-31.940756,-31.957087
1289,-97.28175,-97.17712,-97.04654,-97.319214,-97.03229,-97.29749,-97.45966,-97.394806,-97.14422,-97.29345,-97.33748,-97.09091,-97.185394,-31.977325,-31.967802,-31.94357,-31.989382,-31.942045,-31.989595,-32.013653,-31.999182,-31.963055,-31.990828,-31.997295,-31.95163,-31.968607
1290,-97.38093,-97.276375,-97.14591,-97.418335,-97.13167,-97.39663,-97.55863,-97.49386,-97.24351,-97.39259,-97.43657,-97.19025,-97.284645,-31.990156,-31.979952,-31.95482,-32.002594,-31.953205,-32.002697,-32.027977,-32.01293,-31.974972,-32.003906,-32.01071,-31.963156,-31.980812
1291,-97.48,-97.37554,-97.2452,-97.51735,-97.230965,-97.49567,-97.657486,-97.5928,-97.342705,-97.49163,-97.53556,-97.2895,-97.383804,-32.003693,-31.992798,-31.966734,-32.016537,-31.965021,-32.016533,-32.043056,-32.027424,-31.987577,-32.01772,-32.024864,-31.97535,-31.99372
1292,-97.57898,-97.47462,-97.344406,-97.616264,-97.330185,-97.5946,-97.75622,-97.69163,-97.44182,-97.59056,-97.63444,-97.388664,-97.48287,-32.017952,-32.006363,-31.979322,-32.031223,-31.977512,-32.031113,-32.05892,-32.042675,-32.00089,-32.03228,-32.03978,-31.988226,-32.007343
1293,-97.67785,-97.57359,-97.44352,-97.71506,-97.42931,-97.693405,-97.85481,-97.79033,-97.540825,-97.68938,-97.7332,-97.48774,-97.58183,-32.032955,-32.020657,-31.992601,-32.04668,-31.990692,-32.04646,-32.075577,-32.0587,-32.01492,-32.047607,-32.055466,-32.0018,-32.021698
1294,-97.776596,-97.67245,-97.542534,-97.81373,-97.52834,-97.79209,-97.95328,-97.88891,-97.639725,-97.78806,-97.831825,-97.586716,-97.68069,-32.04872,-32.0357,-32.006588,-32.06292,-32.004578,-32.06259,-32.09305,-32.07552,-32.02969,-32.063717,-32.071945,-32.01609,-32.036808
1295,-97.87522,-97.77119,-97.64145,-97.91227,-97.62727,-97.89065,-98.05158,-97.98734,-97.73851,-97.88662,-97.93032,-97.68558,-97.77942,-32.06526,-32.051514,-32.0213,-32.07996,-32.019184,-32.07952,-32.11135,-32.09315,-32.04522,-32.08063,-32.089237,-32.031113,-32.05269
1296,-97.97371,-97.869804,-97.74025,-98.01066,-97.72609,-97.98906,-98.149734,-98.085625,-97.83717,-97.98504,-98.02866,-97.784325,-97.87801,-32.082603,-32.06811,-32.036755,-32.097816,-32.034534,-32.09727,-32.130497,-32.11161,-32.06152,-32.098362,-32.107353,-32.04689,-32.069355
1297,-98.072044,-97.96828,-97.83893,-98.108894,-97.82478,-98.08732,-98.24771,-98.18374,-97.9357,-98.0833,-98.12685,-97.88295,-97.97648,-32.100758,-32.085514,-32.05297,-32.11651,-32.05064,-32.115856,-32.15051,-32.130913,-32.078617,-32.116932,-32.126312,-32.063435,-32.086826
1298,-98.17023,-98.066605,-97.93748,-98.20697,-97.92335,-98.18541,-98.345505,-98.28169,-98.03409,-98.18139,-98.22486,-97.98144,-98.07479,-32.11975,-32.10374,-32.069965,-32.13605,-32.067524,-32.135292,-32.1714,-32.15108,-32.096527,-32.136353,-32.14613,-32.08077,-32.105118
1299,-98.26825,-98.16477,-98.03588,-98.30487,-98.021774,-98.283325,-98.44311,-98.379456,-98.13232,-98.27931,-98.3227,-98.07978,-98.17295,-32.13959,-32.122803,-32.087753,-32.156464,-32.0852,-32.155594,-32.193184,-32.172127,-32.11526,-32.15664,-32.166824,-32.09891,-32.124252
1300,-98.36608,-98.26277,-98.13414,-98.40258,-98.120056,-98.38106,-98.540504,-98.47702,-98.230385,-98.377045,-98.42035,-98.17797,-98.270935,-32.1603,-32.14272,-32.10636,-32.17776,-32.10369,-32.17678,-32.215874,-32.194065,-32.134846,-32.17781,-32.188408,-32.117878,-32.144245
1301,-98.46373,-98.36059,-98.23224,-98.50009,-98.21818,-98.4786,-98.63768,-98.57439,-98.32828,-98.47459,-98.51779,-98.27599,-98.36874,-32.181896,-32.163506,-32.1258,-32.19995,-32.123013,-32.19886,-32.23948,-32.216908,-32.15529,-32.19988,-32.210896,-32.137688,-32.165108
1302,-98.56117,-98.45822,-98.33016,-98.59739,-98.31613,-98.57592,-98.73463,-98.671524,-98.42598,-98.571915,-98.61501,-98.37384,-98.46635,-32.204388,-32.18518,-32.14609,-32.223053,-32.14318,-32.221848,-32.264015,-32.240673,-32.176617,-32.22286,-32.2343,-32.158356,-32.18686
1303,-98.65841,-98.55564,-98.42791,-98.694466,-98.4139,-98.67303,-98.83134,-98.76844,-98.52349,-98.66902,-98.71201,-98.471504,-98.56375,-32.227795,-32.207756,-32.167244,-32.247078,-32.16421,-32.245758,-32.289494,-32.265366,-32.198833,-32.24676,-32.25863,-32.1799,-32.20951
1304,-98.75541,-98.652855,-98.52546,-98.79131,-98.511475,-98.7699,-98.92779,-98.865105,-98.62079,-98.76589,-98.80878,-98.56896,-98.66094,-32.25212,-32.231247,-32.18928,-32.272034,-32.186127,-32.270596,-32.31591,-32.290997,-32.22196,-32.271595,-32.283894,-32.20234,-32.233078
1305,-98.85218,-98.74984,-98.6228,-98.88791,-98.60885,-98.86653,-99.02398,-98.96152,-98.717865,-98.86252,-98.90529,-98.666214,-98.75791,-32.277386,-32.25566,-32.212215,-32.29793,-32.20893,-32.29637,-32.343285,-32.317574,-32.246002,-32.297367,-32.310104,-32.22568,-32.257572
1306,-98.9487,-98.84658,-98.71993,-98.98425,-98.70601,-98.9629,-99.119896,-99.05766,-98.814705,-98.95889,-99.00154,-98.76324,-98.85463,-32.303596,-32.28101,-32.236057,-32.32477,-32.232647,-32.323097,-32.37161,-32.3451,-32.27098,-32.32409,-32.337265,-32.249947,-32.283
1307,-99.04495,-98.94307,-98.816826,-99.08032,-98.80294,-99.059006,-99.215515,-99.153534,-98.9113,-99.05499,-99.09751,-98.86002,-98.9511,-32.330757,-32.307304,-32.26082,-32.35257,-32.25728,-32.35077,-32.400894,-32.373585,-32.296894,-32.351765,-32.365376,-32.27514,-32.309372
1308,-99.14093,-99.0393,-98.91348,-99.17611,-98.899635,-99.15483,-99.310844,-99.249115,-99.00764,-99.15082,-99.19321,-98.95656,-99.04731,-32.35887,-32.334545,-32.286514,-32.38132,-32.28284,-32.379395,-32.431133,-32.40303,-32.32376,-32.380394,-32.394447,-32.301273,-32.336697
1309,-99.236626,-99.135254,-99.00989,-99.27161,-98.99607,-99.25037,-99.40587,-99.3444,-99.1037,-99.24635,-99.2886,-99.05283,-99.14324,-32.387947,-32.362743,-32.31315,-32.411026,-32.30934,-32.408978,-32.462326,-32.43343,-32.351578,-32.409977,-32.424473,-32.328358,-32.364975
1310,-99.33202,-99.23093,-99.106026,-99.3668,-99.09225,-99.3456,-99.50057,-99.43937,-99.199486,-99.34158,-99.38369,-99.14884,-99.238884,-32.417984,-32.3919,-32.340725,-32.44169,-32.33679,-32.439514,-32.49447,-32.464783,-32.380352,-32.440517,-32.455452,-32.356396,-32.394207
1311,-99.42712,-99.3263,-99.20188,-99.461685,-99.18815,-99.44053,-99.594955,-99.53402,-99.294975,-99.43651,-99.47847,-99.24456,-99.334236,-32.44898,-32.422012,-32.369255,-32.473305,-32.365185,-32.470997,-32.52755,-32.49709,-32.410088,-32.47201,-32.48738,-32.38539,-32.4244
1312,-99.52189,-99.421364,-99.297455,-99.55625,-99.28376,-99.53513,-99.689,-99.62834,-99.39017,-99.53111,-99.57292,-99.33999,-99.429276,-32.48093,-32.45308,-32.39874,-32.505867,-32.394535,-32.50343,-32.561565,-32.53034,-32.44078,-32.504448,-32.520256,-32.415348,-32.45555
1313,-99.61634,-99.51611,-99.39273,-99.65048,-99.379074,-99.62942,-99.782715,-99.722336,-99.48504,-99.62539,-99.667046,-99.435104,-99.523994,-32.513832,-32.485104,-32.429176,-32.539368,-32.424835,-32.536797,-32.596504,-32.56452,-32.472427,-32.537827,-32.55406,-32.446266,-32.48765
1314,-99.71046,-99.61054,-99.48769,-99.744385,-99.47408,-99.723366,-99.87608,-99.81599,-99.5796,-99.71934,-99.76083,-99.52991,-99.61839,-32.547676,-32.518074,-32.460564,-32.5738,-32.456093,-32.571095,-32.632347,-32.59963,-32.505028,-32.572132,-32.588795,-32.47814,-32.5207
1315,-99.80423,-99.70463,-99.582344,-99.837944,-99.56878,-99.81697,-99.96911,-99.909294,-99.67381,-99.81294,-99.85428,-99.62438,-99.712456,-32.582455,-32.551983,-32.492905,-32.60915,-32.4883,-32.606308,-32.669086,-32.635643,-32.538574,-32.607357,-32.624435,-32.51097,-32.554684
1316,-99.89766,-99.798386,-99.67666,-99.93116,-99.66314,-99.91024,-100.061775,-100.00224,-99.7677,-99.906204,-99.94738,-99.71853,-99.80618,-32.618153,-32.58682,-32.526184,-32.645405,-32.521446,-32.64242,-32.7067,-32.67255,-32.57305,-32.643482,-32.660973,-32.544746,-32.5896
1317,-99.99074,-99.89179,-99.770645,-100.02402,-99.75717,-100.00315,-100.1541,-100.09485,-99.861244,-99.999115,-100.04013,-99.812325,-99.89956,-32.65476,-32.62257,-32.560402,-32.682545,-32.555534,-32.679424,-32.745167,-32.71034,-32.608456,-32.680492,-32.69839,-32.57946,-32.625427
1318,-100.083466,-99.98485,-99.86429,-100.11653,-99.85086,-100.09572,-100.24606,-100.187096,-99.95444,-100.091675,-100.13253,-99.90578,-99.99259,-32.692253,-32.659225,-32.595543,-32.720554,-32.590546,-32.717297,-32.78447,-32.74898,-32.644768,-32.718376,-32.736664,-32.6151,-32.662155
1319,-100.17583,-100.07755,-99.95758,-100.20869,-99.94421,-100.187935,-100.33768,-100.278984,-100.04727,-100.18388,-100.22458,-99.99888,-100.085266,-32.73062,-32.696766,-32.6316,-32.75942,-32.626472,-32.75602,-32.82458,-32.788464,-32.681976,-32.757103,-32.77578,-32.65165,-32.699764
1320,-100.26783,-100.1699,-100.05052,-100.30048,-100.03719,-100.27979,-100.42895,-100.37053,-100.139755,-100.27574,-100.31627,-100.09162,-100.17758,-32.76984,-32.735172,-32.668552,-32.799107,-32.663303,-32.795567,-32.865482,-32.82876,-32.72006,-32.79666,-32.815712,-32.6891,-32.738243
