inner_point, midpoint, outer_point, 
[0.002288740820308277, 1.5104181107254], [0.02317796727367849, -0.04722889341193337], [0.044067193727048704, -1.6048758975492667], 
[2.2817198408069306, 1.447245753703939], [2.140242386354519, -0.04955344835246578], [2.219184111940434, -1.5518442072136658], 
[4.180436029668321, 1.3538338183514362], [3.9511179479475267, -0.10765915686024741], [4.0409241367704585, -1.5846198251446424], 
[7.330466167236354, 1.1112852796923782], [7.046149670841443, -0.3252290327678402], [7.057689516273621, -1.7882092327670485], 
[10.441924915349217, 0.7617360752792983], [9.761751793316195, -0.6984226564229239], [9.460088595527148, -2.204308951625922], 
[13.638550591920469, -1.2684093583572498], [12.287334763144637, -2.04650535434018], [11.200659670982374, -3.059144701363426], 
[13.561923927880413, -4.929851453587698], [12.46102638113116, -4.330638725228614], [11.316416623758938, -3.844810445759091], 
[10.768121913481886, -7.042352598747506], [10.415330395546642, -5.723909197727597], [9.769620547309144, -4.454763565171167], 
[8.047355868057126, -7.450252803895356], [7.948144860384586, -6.056546064264026], [7.651810135929983, -4.681712690193638], 
[4.989863867686578, -7.663783176761516], [4.91453206443388, -6.313735274459919], [4.596392525808023, -4.97424985638818], 
[2.7724592733882716, -7.884899539122895], [2.4340505970215336, -6.788531703362249], [1.6050532469420222, -5.274393596381987], 
[2.5412230345243874, -8.4857483376156], [-0.03956468511687561, -8.321910064207255], [-2.528580245849465, -8.299608999024933], 
[2.833638140457772, -8.682032912889628], [2.0575829292700583, -9.852712856365809], [1.38274198813785, -11.168139001013092], 
[3.5349058202056405, -8.88633386839663], [3.0909449090270673, -10.20790981493312], [2.882499135170722, -11.572588284244143], 
[4.547035665003113, -9.046199321514994], [4.1326845034751845, -10.429153792651967], [3.934059196124595, -11.856214514493146], 
[8.049952860769972, -9.629587272438151], [6.938245967927438, -11.035756521584156], [6.137622918949068, -12.61218903022232], 
[9.762316036340165, -12.932937076799373], [8.175923239591684, -12.949065099604885], [6.568925037335754, -13.239331144182534], 
[8.168139813214298, -16.174040601860273], [7.23890770176398, -14.864185546058243], [6.0146822744475, -13.696849832818398], 
[5.52232019961175, -16.823156855152284], [5.387976235971346, -15.353770376824949], [5.035970827665567, -13.919844295484413], 
[2.5430714163109602, -17.28907570568335], [2.3762435033621987, -15.768451455047218], [1.9700025773461256, -14.28964312965709], 
[0.37327349040055147, -17.748109918736972], [-0.2942104557210161, -16.36014257833818], [-1.2163674842420757, -15.074787274913552], 
[-0.9739077891139392, -19.187232688058735], [-2.1932842090825897, -18.288719503954205], [-3.5402992910501236, -17.703169092170057], 
[-1.6085291039158616, -21.494768104122123], [-2.843678912796298, -20.74330118496909], [-4.139995379805137, -20.259767617931], 
[-4.047565423834805, -24.447456991856438], [-4.322917052356129, -22.82954433852781], [-4.9548090030014045, -21.147205400247753], 
[-7.602234162625244, -22.405863896613116], [-6.2505148061688, -21.7480540483163], [-5.020712165180632, -20.903808352483747], 
[-7.78747306566627, -19.126651758129846], [-6.439082174893777, -19.208218023960956], [-5.099764619446511, -18.992885160812854], 
[-7.905060466677889, -16.820793000000002], [-6.532587033964919, -16.878889434451], [-5.169326856939917, -16.71665850530561], 
[-8.063494529831871, -13.686357331152433], [-6.661687467530662, -13.769200165576217], [-5.268590052395029, -13.598828267505102], 
[-8.196493379451729, -10.867265609458466], [-6.775543197142948, -10.930379267712732], [-5.363280469864495, -10.773139135185795], 
[-8.342476080407039, -7.711154156781841], [-6.879203161180827, -7.808011804526309], [-5.419389292136009, -7.640393699807262], 
[-8.450704263873552, -4.787062430146737], [-6.935030853286766, -4.88699361607836], [-5.422398948101711, -4.766482201910431], 
[-8.496920146426337, -1.4385840919943043], [-6.915995226343678, -2.1987534224369156], [-5.18708444916434, -2.6849337925034718], 
[-5.977249155252709, 1.2764173846419773], [-5.323007253353112, -0.5510251297811948], [-4.380133671560321, -2.230841485404344], 
[-2.353326257057642, 1.5081467467218062], [-2.395256268717093, -0.15854434894481884], [-2.0445019729166933, -1.7737098271278455], 
