,s_x,s_y,delta,velocity,yaw,yaw_der,slip_angle,steer_v,acceleration,param,comp_time,lap_finished,out_of_soft
206,6.9531837,-6.479315,0.0640709,9.9958515,3.11972,1.0963333,-0.029905653,-1.5326422,0.08317679,20.905142,0.015295725,0.0,0.0
207,6.8533587,-6.4741416,0.048744477,9.996683,3.1306834,1.1590011,-0.03762476,1.9286739,0.030822022,21.005102,0.014541825,0.0,0.0
208,6.75351,-6.4692917,0.068031214,9.996991,3.1422734,1.1630504,-0.045948483,-1.5668663,0.060561676,21.105068,0.014741134,0.0,0.0
209,6.653642,-6.464768,0.052362554,9.997597,3.153904,1.2228628,-0.05339287,1.8933847,-0.024861885,21.205038,0.015620285,0.0,0.0
210,6.5537505,-6.460662,0.0712964,9.997349,3.1661327,1.224561,-0.061436955,-1.6246327,0.05264117,21.305014,0.014407466,0.0,0.0
211,6.4538455,-6.456974,0.055050075,9.997875,3.178378,1.2799888,-0.068601474,1.8740481,-0.08306404,21.404987,0.014740423,0.0,0.0
212,6.353917,-6.4537935,0.07379056,9.997045,3.191178,1.2780789,-0.0763517,-1.700546,0.055964652,21.504967,0.015360462,0.0,0.0
213,6.2539825,-6.451118,0.056785095,9.997603,3.2039587,1.3275572,-0.0832062,1.8688277,-0.14423639,21.604937,0.014770131,0.0,0.0
214,6.154028,-6.4490347,0.075473376,9.996161,3.2172344,1.3210533,-0.09062317,-1.7933885,0.071994215,21.704912,0.014567726,0.0,0.0
215,6.0540776,-6.4475374,0.057539485,9.9968815,3.230445,1.3629884,-0.09711664,1.8782274,-0.20301777,21.804874,0.015245201,0.0,0.0
216,5.9541125,-6.446711,0.07632176,9.994851,3.2440748,1.3509161,-0.10414076,-1.8968503,0.08958633,21.904842,0.016130004,0.0,0.0
217,5.854164,-6.446545,0.057353258,9.995747,3.257584,1.3843225,-0.110202774,1.9022864,-0.24921334,22.004791,0.015572359,0.0,0.0
218,5.754208,-6.447124,0.07637612,9.993255,3.2714272,1.3655705,-0.11676063,-1.9459302,0.11122867,22.10475,0.014906621,0.0,0.0
219,5.654284,-6.4484305,0.056916818,9.994368,3.285083,1.3897856,-0.12230648,1.9248562,-0.2807608,22.204681,0.014703072,0.0,0.0
220,5.554363,-6.450547,0.07616538,9.99156,3.2989807,1.3654222,-0.12829757,-1.9940027,0.13460447,22.304625,0.016209628,0.0,0.0
221,5.4544897,-6.4534535,0.056225352,9.992906,3.312635,1.3816092,-0.1332431,1.9481182,-0.3037603,22.404541,0.015287611,0.0,0.0
222,5.354632,-6.45723,0.075706534,9.989868,3.326451,1.3526239,-0.13859895,-2.0416548,0.15880843,22.50447,0.014482301,0.0,0.0
223,5.2548404,-6.4618497,0.055289984,9.991456,3.3399773,1.3618991,-0.14288904,1.9720794,-0.31530622,22.604368,0.01626634,0.0,0.0
224,5.1550794,-6.4673915,0.07501078,9.988303,3.3535964,1.32886,-0.14756823,-2.0861826,0.18039495,22.704283,0.014607285,0.0,0.0
225,5.0554037,-6.473823,0.054148953,9.990107,3.366885,1.332463,-0.15116942,1.9955251,-0.3227378,22.814167,0.014406644,0.0,0.0
226,4.9557767,-6.481221,0.074104205,9.986879,3.3802097,1.2961854,-0.15515164,-2.1309025,0.19986703,22.914068,0.019356221,0.0,0.0
227,4.8562555,-6.4895473,0.052795183,9.988878,3.3931713,1.2952557,-0.15805314,2.0195687,-0.32169864,23.013937,0.023470752,0.0,0.0
