,s_x,s_y,delta,velocity,yaw,yaw_der,slip_angle,steer_v,acceleration,param,comp_time,lap_finished,out_of_soft
407,-8.171442,-22.24694,0.08832159,4.826373,1.3852469,0.15234627,0.07381119,2.6142662,0.6263651,17.969658,0.014188073,0.0,0.0
408,-8.16606,-22.198978,0.114464246,4.832637,1.3867704,0.44040206,0.06883107,2.2101064,0.043230295,18.007921,0.015730606,0.0,0.0
409,-8.160505,-22.150972,0.13656531,4.833069,1.3911743,0.73503774,0.063071735,1.8694984,-0.50715905,18.056248,0.014980598,0.0,0.0
410,-8.154885,-22.102968,0.1552603,4.827997,1.3985248,1.0278969,0.056336258,1.5847735,-1.0171292,18.104578,0.015028256,0.0,0.0
411,-8.149301,-22.055014,0.17110804,4.8178263,1.4088037,1.313334,0.04855441,1.3483135,-1.4837497,18.152859,0.015269268,0.0,0.0
412,-8.1438465,-22.007145,0.18459117,4.8029885,1.421937,1.5877773,0.03974509,1.0633758,-2.1354215,18.201036,0.015276397,0.0,0.0
413,-8.138617,-21.9594,0.19522493,4.7816343,1.4378148,1.8528239,0.030025361,0.7646565,-2.411546,18.259068,0.015301903,0.0,0.0
414,-8.133702,-21.911837,0.20287149,4.757519,1.456343,2.098677,0.019362755,0.5354638,-2.7173362,18.306883,0.014870191,0.0,0.0
415,-8.129185,-21.864477,0.20822613,4.7303457,1.4773299,2.322202,0.007887562,0.36886218,-3.002221,18.354458,0.014417092,0.0,0.0
416,-8.125142,-21.817347,0.21191475,4.7003236,1.5005518,2.5221202,-0.0042184694,0.25872386,-3.0402246,18.401762,0.023604361,0.0,0.0
417,-8.121645,-21.770473,0.21450199,4.669921,1.525773,2.6913161,-0.016750641,0.18201599,-2.713084,18.448765,0.018415472,0.0,0.0
418,-8.118762,-21.723864,0.21632215,4.6427903,1.5526862,2.8184762,-0.029401086,0.09846069,-2.5200992,18.495464,0.015476991,0.0,0.0
419,-8.116557,-21.677488,0.21730675,4.6175895,1.580871,2.9138522,-0.041747082,0.020043178,-2.4322882,18.541893,0.014289173,0.0,0.0
420,-8.115095,-21.631336,0.21750718,4.5932665,1.6100094,2.9853861,-0.053532988,-0.0486112,-2.4199011,18.588068,0.015790256,0.0,0.0
421,-8.114437,-21.585407,0.21702108,4.5690675,1.6398634,3.0390365,-0.06461482,-0.10533854,-2.461226,18.634,0.014729672,0.0,0.0
422,-8.11464,-21.539717,0.21596768,4.544455,1.6702538,3.0792704,-0.07492165,-0.14891885,-2.5407996,18.679691,0.014094389,0.0,0.0
423,-8.115756,-21.494286,0.21447851,4.5190473,1.7010465,3.109452,-0.0844295,-0.17941894,-2.6464195,18.725136,0.015140309,0.0,0.0
424,-8.1178255,-21.449142,0.21268432,4.492583,1.7321409,3.1320856,-0.09314321,-0.19694889,-2.7692192,18.770327,0.014718607,0.0,0.0
425,-8.120887,-21.404322,0.21071482,4.464891,1.7634618,3.1490579,-0.10108422,-0.20213194,-2.9019425,18.815252,0.014298185,0.0,0.0
426,-8.12497,-21.35986,0.2086935,4.435871,1.7949524,3.161787,-0.108282164,-0.19570659,-3.0386508,18.859901,0.015376515,0.0,0.0
427,-8.130099,-21.315798,0.20673643,4.4054847,1.8265703,3.171339,-0.11476943,-0.17877202,-3.1741142,18.90426,0.014424322,0.0,0.0
428,-8.136291,-21.27218,0.20494872,4.3737435,1.8582836,3.1785028,-0.12057749,-0.15233839,-3.3041663,18.948315,0.014291605,0.0,0.0
429,-8.143557,-21.229052,0.20342533,4.340702,1.8900687,3.1838748,-0.12573485,-0.11759398,-3.4251475,18.992052,0.015205043,0.0,0.0
430,-8.151905,-21.186455,0.2022494,4.3064504,1.9219074,3.1879008,-0.13026597,-0.07556699,-3.5341275,19.03546,0.014413319,0.0,0.0
431,-8.161339,-21.144436,0.20149373,4.271109,1.9537864,3.190925,-0.134191,-0.027922837,-3.6283355,19.078524,0.014433006,0.0,0.0
432,-8.171856,-21.10304,0.20121449,4.234826,1.9856957,3.193193,-0.13752592,0.023874376,-3.705902,19.131235,0.015191609,0.0,0.0
433,-8.183452,-21.062311,0.20145324,4.197767,2.0176277,3.1948934,-0.14028332,0.078154,-3.7655184,19.183582,0.014651206,0.0,0.0
434,-8.196119,-21.02229,0.20223477,4.160112,2.0495765,3.1961694,-0.14247352,0.07103418,-3.8064713,19.235561,0.014675159,0.0,0.0
435,-8.209848,-20.983019,0.20294513,4.122047,2.0815382,3.1971269,-0.14410579,0.03284965,-3.8576677,19.297161,0.016252268,0.0,0.0
436,-8.224625,-20.944538,0.20327362,4.0834703,2.1135094,3.197845,-0.14524174,0.107875206,-3.933456,19.348383,0.015153903,0.0,0.0
437,-8.240432,-20.906887,0.20435236,4.0441356,2.145488,3.1983838,-0.14596343,0.17359926,-3.9814374,19.419216,0.014542319,0.0,0.0
438,-8.257243,-20.870106,0.20608836,4.0043216,2.1774719,3.1987877,-0.14624682,0.24094683,-4.0060406,19.479658,0.016384244,0.0,0.0
439,-8.275036,-20.834232,0.20849784,3.964261,2.2094598,3.1990907,-0.14608003,0.3087232,-4.0065045,19.539701,0.014884796,0.0,0.0
440,-8.293783,-20.799303,0.21158506,3.924196,2.2414505,3.199318,-0.14545266,0.37445992,-3.9824653,19.599344,0.015629815,0.0,0.0
441,-8.313458,-20.76535,0.21532966,3.8843713,2.2734437,3.1994884,-0.14435698,0.43577668,-3.934515,19.668587,0.016199024,0.0,0.0
442,-8.334036,-20.732405,0.21968743,3.845026,2.3054385,3.1996162,-0.14279015,0.48868656,-3.8641346,19.71743,0.014849583,0.0,0.0
443,-8.355487,-20.700495,0.2245743,3.8063848,2.3374348,3.199712,-0.14075622,0.56035906,-3.7743855,19.77588,0.01547622,0.0,0.0
444,-8.377785,-20.669645,0.23017788,3.768641,2.369432,3.1997838,-0.1382691,0.6441088,-3.6558921,19.823944,0.01531598,0.0,0.0
445,-8.400902,-20.639881,0.23661897,3.732082,2.4014297,3.1998334,-0.13532689,0.64545715,-3.502316,19.87163,0.015552928,0.0,0.0
446,-8.42481,-20.611225,0.24307354,3.697059,2.433428,3.1998737,-0.13192137,0.60183024,-3.348696,19.918951,0.015563062,0.0,0.0
447,-8.449485,-20.583693,0.24909185,3.6635718,2.465427,3.199899,-0.12812503,0.56421363,-3.2136102,19.955921,0.014685527,0.0,0.0
448,-8.474896,-20.557302,0.25473398,3.6314359,2.4974258,3.1999183,-0.12404282,0.5277543,-3.0934343,19.992558,0.01650159,0.0,0.0
449,-8.501012,-20.53207,0.26001152,3.6005015,2.529425,3.1999364,-0.119759664,0.4920999,-2.9870133,20.028872,0.015491229,0.0,0.0
450,-8.527796,-20.508007,0.2649325,3.5706313,2.5614243,3.1999493,-0.115347445,0.45795253,-2.893833,20.064877,0.014783082,0.0,0.0
451,-8.555208,-20.485126,0.26951206,3.541693,2.5934238,3.1999598,-0.11086676,0.42575064,-2.8132188,20.100584,0.014792346,0.0,0.0
452,-8.583208,-20.46344,0.27376956,3.5135608,2.6254234,3.1999676,-0.10636768,0.39592797,-2.7445357,20.136,0.015168052,0.0,0.0
453,-8.6117525,-20.442953,0.27772883,3.4861155,2.657423,3.1999736,-0.10189063,0.3687667,-2.687082,20.161135,0.019355524,0.0,0.0
454,-8.640796,-20.423672,0.2814165,3.4592447,2.6894228,3.1999786,-0.097467296,0.34445855,-2.6401088,20.195997,0.014849534,0.0,0.0
455,-8.670294,-20.405602,0.2848611,3.4328434,2.7214227,3.1999824,-0.09312147,0.3231077,-2.6028256,20.220589,0.014713242,0.0,0.0
456,-8.700198,-20.388744,0.28809217,3.4068153,2.7534225,3.1999838,-0.08887002,0.30486968,-2.5744874,20.244917,0.024997309,0.0,0.0
457,-8.730463,-20.373102,0.29114085,3.3810704,2.7854223,3.1999867,-0.084723756,0.28965208,-2.5541503,20.278986,0.016120382,0.0,0.0
458,-8.761041,-20.358673,0.29403737,3.3555288,2.8174222,3.1999888,-0.080688216,0.27740377,-2.540936,20.302797,0.014963345,0.0,0.0
459,-8.7918825,-20.345455,0.29681143,3.3301196,2.849422,3.1999874,-0.07676449,0.2681918,-2.5340621,20.326351,0.014647745,0.0,0.0
460,-8.822944,-20.333447,0.29949334,3.3047788,2.881422,3.1999886,-0.072950006,0.2617275,-2.5324242,20.349653,0.016062401,0.0,0.0
461,-8.854175,-20.32264,0.3021106,3.2794547,2.9134219,3.199986,-0.06923905,0.25803512,-2.535258,20.3827,0.019425347,0.0,0.0
462,-8.8855295,-20.31303,0.30469096,3.254102,2.9454217,3.199984,-0.06562355,0.2568383,-2.5416198,20.405495,0.019108739,0.0,0.0
463,-8.916962,-20.304607,0.30725935,3.2286859,2.9774215,3.199988,-0.062093507,0.25804478,-2.550488,20.428036,0.014353552,0.0,0.0
464,-8.948425,-20.297365,0.3098398,3.203181,3.0094213,3.1999907,-0.058637585,0.26309744,-2.5609748,20.450323,0.01566184,0.0,0.0
465,-8.979876,-20.29129,0.31247076,3.1775713,3.0414214,3.1999907,-0.055243418,0.27338693,-2.5714135,20.482355,0.014708707,0.0,0.0
466,-9.011269,-20.286371,0.31520465,3.1518571,3.0734212,3.1999915,-0.05189644,0.28883138,-2.5791795,20.504131,0.014965931,0.0,0.0
467,-9.042561,-20.282597,0.31809294,3.1260653,3.105421,3.1999927,-0.04857902,0.30698618,-2.5814695,20.53565,0.015482953,0.0,0.0
468,-9.073709,-20.27995,0.32116282,3.1002507,3.1374211,3.1999912,-0.04527112,0.3234582,-2.5766914,20.55691,0.014671337,0.0,0.0
469,-9.104673,-20.278418,0.3243974,3.0744836,3.169421,3.1999924,-0.041953385,0.33539212,-2.5652306,20.587912,0.014509117,0.0,0.0
470,-9.135415,-20.277983,0.3277513,3.0488315,3.2014208,3.1999936,-0.03861174,0.34118602,-2.5491173,20.608658,0.015733724,0.0,0.0
471,-9.165896,-20.27863,0.33116317,3.0233402,3.2334208,3.1999948,-0.03523948,0.3627838,-2.5313346,20.639145,0.014735807,0.0,0.0
472,-9.196081,-20.28034,0.334791,2.9980268,3.2654207,3.1999958,-0.03183773,0.3827991,-2.5031204,20.65938,0.015559769,0.0,0.0
473,-9.225935,-20.283094,0.338619,2.9729958,3.2974207,3.1999922,-0.02839125,0.39231148,-2.4647005,20.68936,0.015759492,0.0,0.0
474,-9.255424,-20.286873,0.3425421,2.9483488,3.3294206,3.1999915,-0.024889918,0.39063662,-2.4209232,20.71909,0.0145216,0.0,0.0
475,-9.284517,-20.291655,0.34644848,2.9241395,3.3614206,3.1999931,-0.021337464,0.40108505,-2.3773289,20.738573,0.015756205,0.0,0.0
476,-9.313184,-20.29742,0.35045934,2.900366,3.3934205,3.199992,-0.017749466,0.42704576,-2.3271313,20.767815,0.014831243,0.0,0.0
