,times,crashes
0,39.54,0.0
1,39.47,0.0
2,39.64,0.0
3,40.07,0.0
4,38.9,0.0
5,39.37,0.0
6,39.45,0.0
7,39.81,0.0
8,39.37,0.0
9,39.34,0.0
10,39.6,0.0
11,39.8,0.0
12,39.68,0.0
13,39.65,0.0
14,39.73,0.0
15,39.4,0.0
16,39.73,0.0
17,39.13,0.0
18,39.67,0.0
19,39.56,0.0
20,39.52,0.0
